tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
3,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
24,0,0,1,1,7,7,1,0,0,0,0
9,5,3,6,1,0,7,2,2,2,-1,-1
9,5,3,5,0,7,7,3,-1,-1,2,2
9,5,3,4,0,7,7,2,2,1,-1,-1
9,5,3,3,0,7,7,3,-1,-1,1,1
9,3,0,2,0,7,7,2,1,1,-1,-1
9,0,0,1,0,7,7,1,1,0,1,1
64,0,0,1,1,7,7,1,0,0,0,0
16,12,12,5,1,0,1,1,0,0,0,1
12,12,12,4,1,7,7,4,-1,-1,2,-1
12,12,12,4,1,7,0,1,1,1,1,1
12,12,12,3,1,7,7,4,-1,-1,0,-1
12,12,12,3,1,7,0,2,0,0,-1,-1
12,12,0,2,0,7,7,3,-1,-1,0,2
12,0,0,1,0,7,7,1,1,1,1,1
1,1,1,8,1,7,7,0,1,1,1,1
1,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
44,10,4,8,1,7,7,2,2,2,-1,-1
44,10,4,7,0,7,7,3,-1,-1,2,2
44,10,4,6,0,7,7,2,2,2,-1,-1
44,10,4,5,0,7,7,3,-1,-1,2,1
44,10,4,4,0,7,7,2,1,1,-1,-1
44,10,1,3,0,7,7,3,-1,-1,1,2
44,10,0,2,0,7,7,1,0,0,0,0
10,0,0,1,1,7,7,1,1,0,1,1
22,10,0,2,1,7,7,1,0,0,0,0
10,0,0,1,1,7,7,1,1,0,1,1
21,1,1,4,1,7,7,2,2,2,-1,-1
21,1,1,3,0,7,7,3,-1,-1,2,1
21,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,3,-1,-1,2,2
3,3,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
2,1,1,3,1,0,7,0,2,1,2,1
1,0,0,1,1,7,7,2,2,2,-1,-1
3,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
36,4,4,8,1,7,7,0,1,1,1,1
36,4,4,6,1,7,7,2,1,1,-1,-1
36,4,4,5,0,7,7,3,-1,-1,1,0
36,4,4,4,0,7,7,2,1,1,-1,-1
36,4,4,3,0,7,7,3,-1,-1,1,1
36,4,0,2,0,7,7,2,1,1,-1,-1
36,0,0,1,0,7,7,1,0,0,0,0
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
32,16,0,2,1,0,7,1,0,0,0,0
16,0,0,1,1,7,7,1,0,0,0,0
2,2,0,2,1,0,7,0,2,1,2,1
10,2,0,2,1,7,7,1,1,1,1,2
2,0,0,1,0,7,7,2,2,2,-1,-1
7,1,1,6,1,7,7,0,1,1,1,1
7,1,1,4,1,7,7,2,2,2,-1,-1
7,1,1,3,0,7,7,3,-1,-1,2,2
7,1,0,2,0,7,7,2,2,2,-1,-1
7,0,0,1,0,7,7,1,1,1,1,1
36,12,6,7,1,0,7,2,2,1,-1,-1
36,12,6,6,0,7,7,3,-1,-1,1,1
36,12,6,5,0,7,7,2,1,2,-1,-1
36,12,6,4,0,7,7,3,-1,-1,1,2
36,12,6,3,0,7,7,4,0,-1,-1,-1
36,12,6,3,0,0,7,1,0,0,0,0
12,6,0,2,1,7,7,4,0,-1,-1,-1
12,6,0,2,1,0,7,1,1,1,1,1
6,0,0,1,1,7,7,1,1,1,1,1
28,4,4,6,1,0,7,2,1,1,-1,-1
28,4,4,5,0,7,7,3,-1,-1,1,0
28,4,4,4,0,7,7,2,1,1,-1,-1
28,4,4,3,0,7,7,3,-1,-1,1,1
28,4,0,2,0,7,7,2,1,1,-1,-1
28,0,0,1,0,7,7,1,0,0,0,0
4,0,0,1,1,7,7,1,1,1,1,1
5,1,1,8,1,7,7,0,1,1,1,1
5,1,1,6,1,7,7,0,1,1,1,1
5,1,1,4,1,7,7,0,1,1,1,1
5,1,0,2,1,7,7,0,1,1,0,2
10,9,9,7,1,0,7,1,1,0,1,2
9,9,9,6,0,7,7,4,-1,-1,2,-1
9,9,9,6,0,7,0,1,1,0,1,2
9,9,9,5,0,7,7,4,-1,-1,2,-1
9,9,9,5,0,7,0,1,1,0,1,2
9,9,9,4,0,7,7,4,-1,-1,2,-1
9,9,9,4,0,7,0,1,1,0,1,2
9,9,9,3,0,7,7,4,-1,-1,2,-1
9,9,9,3,0,7,0,1,1,0,1,2
9,9,0,2,0,7,7,4,-1,-1,2,-1
9,9,0,2,0,7,0,0,0,0,0,0
6,3,3,3,1,7,7,0,1,1,1,1
6,0,0,1,1,7,7,1,1,1,1,1
32,4,4,5,1,7,7,2,2,1,-1,-1
32,4,4,4,0,7,7,3,-1,-1,1,1
32,4,4,3,0,7,7,2,1,1,-1,-1
32,4,0,2,0,7,7,3,-1,-1,1,1
32,0,0,1,0,7,7,1,0,0,0,0
2,1,1,7,1,7,7,0,1,1,1,1
1,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
17,7,0,2,1,7,7,1,0,0,0,0
7,0,0,1,0,7,7,1,1,1,1,1
44,10,10,3,1,0,7,1,0,0,0,0
10,10,0,2,1,7,7,4,0,-1,-1,-1
10,10,0,2,1,0,7,0,0,0,0,0
2,2,1,7,1,7,7,0,1,1,1,1
1,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
36,4,4,8,1,7,7,0,1,1,1,1
36,4,4,6,1,7,7,2,1,1,-1,-1
36,4,4,5,0,7,7,3,-1,-1,1,0
36,4,4,4,0,7,7,2,1,1,-1,-1
36,4,4,3,0,7,7,3,-1,-1,1,1
36,4,0,2,0,7,7,2,1,1,-1,-1
36,0,0,1,0,7,7,1,0,0,0,0
7,5,0,2,1,7,7,0,0,0,0,0
4,0,0,1,1,0,7,1,2,1,2,1
32,7,3,8,1,7,7,0,1,1,1,1
32,7,1,6,1,7,7,2,2,2,-1,-1
32,7,1,5,0,7,7,3,-1,-1,2,2
32,7,1,4,0,7,7,2,2,2,-1,-1
32,7,1,3,0,7,7,1,0,0,0,0
7,1,0,2,1,7,7,4,0,-1,-1,-1
7,1,0,2,1,0,7,1,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
12,9,9,5,1,7,7,1,1,0,1,1
9,9,9,4,0,7,7,4,-1,-1,2,-1
9,9,9,4,0,7,0,1,1,0,1,2
9,9,9,3,0,7,7,4,-1,-1,2,-1
9,9,9,3,0,7,0,1,1,0,1,2
9,9,0,2,0,7,7,4,-1,-1,2,-1
9,9,0,2,0,7,0,0,0,0,0,0
11,5,0,2,1,7,7,1,1,1,1,1
5,0,0,1,1,7,7,1,1,1,1,1
9,1,1,8,1,0,7,0,1,1,1,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
3,2,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
48,0,0,1,1,7,7,1,0,0,0,0
44,10,4,8,1,7,7,2,2,2,-1,-1
44,10,4,7,0,7,7,3,-1,-1,2,2
44,10,4,6,0,7,7,2,2,2,-1,-1
44,10,4,5,0,7,7,3,-1,-1,2,1
44,10,4,4,0,7,7,2,1,1,-1,-1
44,10,1,3,0,7,7,3,-1,-1,1,2
44,10,0,2,0,7,7,1,0,0,0,0
10,0,0,1,1,7,7,1,1,0,1,1
6,3,3,7,1,7,7,0,1,1,1,1
6,3,3,5,1,7,7,0,1,1,1,1
6,3,3,3,1,7,7,0,1,1,1,1
6,0,0,1,1,7,7,1,1,1,1,1
11,11,10,7,1,7,7,2,1,1,-1,-1
11,11,10,6,0,7,7,3,-1,-1,1,1
11,11,10,5,1,7,7,2,2,2,-1,-1
11,11,10,4,0,7,7,3,-1,-1,2,0
11,11,10,3,0,7,7,4,0,-1,-1,-1
11,11,10,3,0,0,7,1,1,1,2,1
11,10,0,2,1,7,7,4,-1,-1,2,-1
11,10,0,2,1,7,0,2,0,0,-1,-1
11,0,0,1,0,7,0,3,-1,-1,0,0
39,11,6,7,1,0,7,2,2,2,-1,-1
39,11,6,6,0,7,7,3,-1,-1,2,2
39,11,6,5,0,7,7,2,2,1,-1,-1
39,11,6,4,0,7,7,3,-1,-1,1,1
39,11,6,3,0,7,7,2,1,1,-1,-1
39,11,0,2,0,7,7,1,0,0,0,0
11,0,0,1,1,7,7,1,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
6,6,6,8,1,7,7,0,1,1,1,1
6,6,6,6,1,7,7,4,-1,-1,0,-1
6,6,6,6,1,7,0,2,1,1,-1,-1
6,6,6,5,0,7,7,3,-1,-1,1,1
6,6,6,4,1,7,7,4,-1,-1,0,-1
6,6,6,4,1,7,0,2,1,1,-1,-1
6,6,6,3,0,7,7,3,-1,-1,1,2
6,6,0,2,0,7,7,4,2,-1,-1,-1
6,6,0,2,0,0,7,0,1,1,1,1
48,0,0,1,1,7,7,1,0,0,0,0
12,6,4,8,1,7,7,0,1,1,1,1
12,6,2,6,1,7,7,2,2,2,-1,-1
12,6,2,5,0,7,7,3,-1,-1,2,2
12,6,2,4,0,7,7,2,2,1,-1,-1
12,6,1,3,0,7,7,1,1,1,1,1
6,1,0,2,1,7,7,4,-1,-1,0,-1
6,1,0,2,1,7,0,2,1,1,-1,-1
1,0,0,1,0,7,7,3,-1,-1,2,1
44,10,10,3,1,0,1,1,0,0,0,0
10,10,0,2,1,7,7,4,0,-1,-1,-1
10,10,0,2,1,0,7,0,0,0,0,0
6,6,6,8,1,7,7,2,2,2,-1,-1
6,6,6,7,0,7,7,3,-1,-1,2,2
6,6,6,6,0,7,7,2,2,2,-1,-1
6,6,6,5,0,7,7,3,-1,-1,2,2
6,6,6,4,0,7,7,0,1,1,1,1
6,6,0,2,1,7,7,4,-1,-1,0,-1
6,6,0,2,1,7,0,2,1,1,-1,-1
6,0,0,1,0,7,7,3,-1,-1,1,2
8,2,2,5,1,0,7,0,1,1,1,1
8,2,2,3,1,7,7,2,2,2,-1,-1
8,2,0,2,0,7,7,1,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
3,3,3,4,1,0,7,0,1,1,1,1
3,3,0,2,1,7,7,0,1,1,1,1
17,9,6,8,1,7,7,0,1,1,1,1
17,9,6,6,1,7,7,2,2,1,-1,-1
17,9,6,5,0,7,7,3,-1,-1,1,1
17,9,6,4,0,7,7,2,1,1,-1,-1
17,9,3,3,0,7,7,3,-1,-1,1,0
17,9,0,2,0,7,7,4,0,-1,-1,-1
17,9,0,2,0,0,7,1,0,0,0,0
9,0,0,1,0,7,7,1,1,0,1,1
13,7,5,5,1,7,7,0,1,1,1,1
13,7,5,3,1,7,7,1,0,0,0,1
7,5,0,2,1,7,7,4,-1,-1,2,-1
7,5,0,2,1,7,0,0,0,0,0,0
8,4,4,7,1,7,7,0,1,1,1,1
8,4,4,5,1,7,7,0,1,1,1,1
8,4,4,3,1,7,7,0,1,1,1,1
8,0,0,1,1,7,7,1,1,1,1,1
6,3,2,8,1,7,7,0,1,1,1,1
6,1,1,6,1,7,7,0,1,1,1,1
6,1,1,4,1,7,7,0,1,1,1,1
6,1,0,2,1,7,7,0,1,1,0,2
16,4,4,3,1,7,7,1,0,0,0,0
4,4,0,2,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
8,0,0,1,1,7,7,1,1,1,1,1
22,5,5,3,1,0,7,1,0,0,0,0
5,5,0,2,1,7,7,4,2,-1,-1,-1
5,5,0,2,1,0,7,0,1,1,1,1
5,2,2,6,1,7,7,0,1,1,1,1
5,1,1,4,1,7,7,2,2,2,-1,-1
5,1,1,3,0,7,7,3,-1,-1,2,2
5,1,0,2,0,7,7,2,2,2,-1,-1
5,0,0,1,0,7,7,1,1,1,1,1
48,0,0,1,1,7,7,1,0,0,0,0
10,2,0,2,1,0,7,1,1,1,1,2
2,0,0,1,0,7,7,2,2,2,-1,-1
12,2,2,3,1,0,7,1,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
5,2,1,7,1,0,7,0,1,1,1,1
5,1,1,5,1,7,7,0,1,1,1,1
5,1,1,3,1,7,7,2,2,2,-1,-1
5,1,0,2,0,7,7,0,1,1,0,2
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
6,2,0,2,1,7,7,0,1,1,0,2
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
7,5,5,6,1,7,7,0,1,1,1,1
7,5,5,4,1,7,7,4,-1,-1,0,-1
7,5,5,4,1,7,0,2,1,1,-1,-1
7,5,5,3,0,7,0,3,-1,-1,1,2
7,5,0,2,0,7,7,4,2,-1,-1,-1
7,5,0,2,0,0,7,0,0,0,0,0
4,2,2,7,1,0,7,0,1,1,2,2
2,1,1,5,0,7,7,3,-1,-1,1,2
1,1,1,4,0,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
17,17,7,4,1,7,7,0,0,0,0,1
17,17,0,2,1,7,7,4,-1,-1,2,-1
17,17,0,2,1,7,0,0,0,0,0,0
26,1,1,7,1,7,7,2,2,2,-1,-1
26,1,1,6,0,7,7,3,-1,-1,2,2
26,1,1,5,0,7,7,2,2,2,-1,-1
26,1,1,4,0,7,7,3,-1,-1,2,2
26,1,1,3,0,7,7,2,2,2,-1,-1
26,1,0,2,0,7,7,1,0,0,1,0
1,0,0,1,0,7,7,3,-1,-1,2,2
6,6,6,4,1,7,7,0,1,1,1,1
6,6,0,2,1,7,7,4,-1,-1,0,-1
6,6,0,2,1,7,0,2,1,1,-1,-1
6,0,0,1,0,7,7,3,-1,-1,1,2
12,10,10,3,1,7,7,1,1,0,1,1
10,10,0,2,0,7,7,4,-1,-1,2,-1
10,10,0,2,0,7,0,0,0,0,0,0
24,0,0,1,1,7,7,1,0,0,0,0
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
1,1,1,8,1,0,7,0,2,1,2,1
1,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
8,4,2,4,1,7,7,0,1,1,1,1
8,2,0,2,1,7,7,1,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
12,12,12,4,1,7,7,1,1,0,1,1
12,12,12,3,0,7,7,4,-1,-1,2,-1
12,12,12,3,0,7,0,1,1,1,1,1
12,12,0,2,1,7,7,4,-1,-1,0,-1
12,12,0,2,1,7,0,2,0,0,-1,-1
12,0,0,1,0,7,7,3,-1,-1,0,2
32,32,0,2,1,0,1,0,0,0,0,0
4,4,0,2,1,7,7,0,1,1,1,1
2,2,2,8,1,0,1,0,2,1,2,1
2,2,2,6,1,7,7,0,1,1,1,1
2,2,2,4,1,7,7,0,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
17,1,1,8,1,0,1,0,2,1,2,1
17,1,1,6,1,7,7,2,2,2,-1,-1
17,1,1,5,0,7,7,3,-1,-1,2,2
17,1,1,4,0,7,7,2,2,2,-1,-1
17,1,1,3,0,7,7,3,-1,-1,2,2
17,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,2,2,2,-1,-1
8,2,2,3,1,0,7,0,1,1,1,1
8,0,0,1,1,7,7,1,1,1,1,1
3,2,2,4,1,7,7,0,1,1,1,1
2,1,0,2,1,7,7,0,1,1,1,1
17,15,0,2,1,7,7,0,0,0,0,0
24,0,0,1,1,7,7,1,0,0,0,0
16,4,2,5,1,7,7,2,2,1,-1,-1
16,4,1,4,0,7,7,3,-1,-1,1,1
16,1,1,3,0,7,7,2,1,2,-1,-1
16,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,1,7,7,2,2,2,-1,-1
48,0,0,1,1,7,7,1,0,0,0,0
12,2,2,3,1,0,7,1,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
3,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
48,4,4,5,1,0,1,0,1,1,1,1
48,4,4,3,1,7,7,1,0,0,0,0
4,4,0,2,1,7,7,0,1,1,1,1
8,2,2,3,1,0,1,0,2,1,2,1
8,0,0,1,1,7,7,1,1,1,1,1
2,2,2,6,1,0,1,0,2,1,2,1
2,2,2,4,1,7,7,0,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
5,3,2,7,1,0,7,0,1,1,1,1
5,2,2,5,1,7,7,0,1,1,1,1
5,1,1,3,1,7,7,2,2,2,-1,-1
5,1,0,2,0,7,7,0,1,1,0,2
6,1,1,3,1,7,7,0,1,1,1,2
1,0,0,1,0,7,7,3,-1,-1,1,2
6,2,0,2,1,7,7,0,1,1,0,2
9,1,1,8,1,7,7,0,1,1,1,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
17,4,2,4,1,0,7,2,2,1,-1,-1
17,2,1,3,0,7,7,3,-1,-1,1,2
17,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,2,2,2,-1,-1
20,2,2,7,1,7,7,0,1,1,1,1
20,2,2,5,1,7,7,2,2,2,-1,-1
20,2,2,4,0,7,7,3,-1,-1,2,2
20,2,2,3,0,7,7,2,2,2,-1,-1
20,2,0,2,0,7,7,1,0,0,0,0
2,0,0,1,1,7,7,2,2,2,-1,-1
37,8,3,3,1,7,7,1,0,1,0,0
8,3,0,2,0,7,7,4,0,-1,-1,-1
8,3,0,2,0,0,7,3,-1,-1,1,1
8,0,0,1,0,0,7,1,1,1,1,1
12,12,0,2,1,7,7,0,0,0,0,0
4,2,2,5,1,7,7,0,1,1,1,1
2,2,2,3,1,7,7,0,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
12,0,0,1,1,7,7,1,1,1,1,1
12,10,10,3,1,7,7,1,1,0,1,1
10,10,0,2,0,7,7,4,-1,-1,2,-1
10,10,0,2,0,7,0,0,0,0,0,0
35,13,0,2,1,7,7,1,0,0,0,0
13,0,0,1,1,7,7,1,0,0,0,0
24,24,0,2,1,7,7,0,0,0,0,0
9,1,1,8,1,7,7,0,1,1,1,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
2,1,1,3,1,0,7,0,2,1,2,1
1,0,0,1,1,7,7,2,2,2,-1,-1
17,17,7,4,1,7,7,0,0,0,0,1
17,17,0,2,1,7,7,4,-1,-1,2,-1
17,17,0,2,1,7,0,0,0,0,0,0
3,3,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
6,6,6,8,1,7,7,0,1,1,1,1
6,6,6,6,1,7,7,4,-1,-1,0,-1
6,6,6,6,1,7,0,2,1,1,-1,-1
6,6,6,5,0,7,7,3,-1,-1,1,1
6,6,6,4,1,7,7,4,-1,-1,0,-1
6,6,6,4,1,7,0,2,1,1,-1,-1
6,6,6,3,0,7,7,3,-1,-1,1,2
6,6,0,2,0,7,7,4,2,-1,-1,-1
6,6,0,2,0,0,7,0,1,1,1,1
22,5,5,3,1,0,1,1,0,0,0,0
5,5,0,2,1,7,7,4,2,-1,-1,-1
5,5,0,2,1,0,7,0,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
12,0,0,1,1,0,7,1,1,1,1,1
24,0,0,1,1,7,7,1,0,0,0,0
24,0,0,1,1,7,7,1,0,0,0,0
2,1,1,7,1,7,7,0,1,1,1,1
1,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
4,4,2,6,1,7,7,0,1,1,1,1
2,2,2,4,1,7,7,0,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
13,4,2,8,1,7,7,0,1,1,1,1
13,1,1,6,1,7,7,0,1,1,1,1
13,1,1,4,1,7,7,2,2,2,-1,-1
13,1,1,3,0,7,7,3,-1,-1,2,2
13,1,0,2,0,7,7,1,0,0,1,0
1,0,0,1,0,7,7,3,-1,-1,2,2
16,0,0,1,1,7,7,1,0,0,0,0
12,0,0,1,1,7,7,1,1,1,1,1
6,1,1,7,1,0,1,0,2,1,2,1
6,1,1,5,1,7,7,0,1,1,1,1
6,1,1,3,1,7,7,2,2,2,-1,-1
6,1,0,2,0,7,7,0,1,1,0,2
6,2,0,2,1,0,7,0,1,1,0,2
10,7,7,7,1,7,7,2,2,2,-1,-1
10,7,7,6,0,7,7,3,-1,-1,2,2
10,7,7,5,0,7,7,2,2,2,-1,-1
10,7,7,4,0,7,7,1,1,1,1,2
7,7,2,3,0,7,7,2,2,2,-1,-1
7,7,0,2,0,7,7,0,0,0,0,0
12,0,0,1,1,7,7,1,1,1,1,1
64,0,0,1,1,7,7,1,0,0,0,0
8,8,8,4,1,7,7,0,0,0,0,1
8,8,0,2,1,7,7,4,-1,-1,2,-1
8,8,0,2,1,7,0,0,0,0,0,0
16,0,0,1,1,7,7,1,0,0,0,0
4,4,4,8,1,7,7,0,1,1,1,1
4,4,2,6,1,7,7,0,1,1,1,1
2,2,2,4,1,7,7,0,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
4,2,2,7,1,7,7,0,1,1,1,1
2,2,2,5,1,7,7,0,1,1,1,1
2,2,2,3,1,7,7,0,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
42,11,11,3,1,7,7,1,0,0,0,0
11,11,0,2,1,7,7,4,0,-1,-1,-1
11,11,0,2,1,0,7,0,0,0,0,0
6,6,0,2,1,7,7,0,1,1,1,1
8,8,4,4,1,7,7,2,2,2,-1,-1
8,8,4,3,0,7,7,3,-1,-1,2,0
8,8,0,2,0,7,7,4,0,-1,-1,-1
8,8,0,2,0,0,7,0,0,0,0,0
3,3,3,8,1,0,7,0,1,1,1,1
3,3,3,6,1,7,7,0,1,1,1,1
3,3,3,4,1,7,7,0,1,1,1,1
3,3,0,2,1,7,7,0,1,1,1,1
10,7,7,7,1,0,7,2,2,2,-1,-1
10,7,7,6,0,7,7,3,-1,-1,2,2
10,7,7,5,0,7,7,2,2,2,-1,-1
10,7,7,4,0,7,7,1,1,1,1,2
7,7,2,3,0,7,7,2,2,2,-1,-1
7,7,0,2,0,7,7,0,0,0,0,0
1,1,1,8,1,7,7,0,1,1,1,1
1,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
16,0,0,1,1,0,7,1,0,0,0,0
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
16,0,0,1,1,7,7,1,0,0,0,0
6,2,1,6,1,7,7,0,1,1,1,1
6,1,1,4,1,7,7,2,2,2,-1,-1
6,1,1,3,0,7,7,3,-1,-1,2,2
6,1,0,2,0,7,7,2,2,2,-1,-1
6,0,0,1,0,7,7,1,1,1,1,1
15,15,14,7,1,7,7,0,1,1,1,1
15,15,14,5,1,7,7,4,-1,-1,0,-1
15,15,14,5,1,7,0,2,1,1,-1,-1
15,15,14,4,0,7,0,3,-1,-1,1,2
15,15,14,3,0,7,7,4,2,-1,-1,-1
15,15,14,3,0,0,7,1,0,0,0,1
15,14,0,2,1,7,7,4,-1,-1,2,-1
15,14,0,2,1,7,0,0,0,0,0,0
13,3,0,2,1,7,7,1,0,0,1,1
3,0,0,1,0,7,7,3,-1,-1,1,1
11,5,0,2,1,0,7,1,1,1,1,1
5,0,0,1,1,7,7,1,1,1,1,1
32,32,0,2,1,7,7,0,0,0,0,0
11,11,11,6,1,7,7,0,1,0,1,1
11,11,11,4,0,7,7,4,-1,-1,2,-1
11,11,11,4,0,7,0,1,1,1,1,1
11,11,5,3,1,7,7,4,-1,-1,0,-1
11,11,5,3,1,7,0,2,1,1,-1,-1
11,11,0,2,0,7,0,0,0,0,0,0
1,1,1,4,1,0,7,0,2,1,2,1
1,1,0,2,1,7,7,0,1,1,1,1
8,0,0,1,1,0,7,1,1,1,1,1
2,1,1,7,1,7,7,0,1,1,1,1
1,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
8,8,8,8,1,7,7,2,1,1,-1,-1
8,8,8,7,0,7,7,3,-1,-1,1,1
8,8,8,6,1,7,7,2,1,1,-1,-1
8,8,8,5,0,7,7,3,-1,-1,1,1
8,8,8,4,1,7,7,0,0,0,0,1
8,8,0,2,1,7,7,4,-1,-1,2,-1
8,8,0,2,1,7,0,0,0,0,0,0
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
15,4,2,6,1,0,7,0,1,1,1,1
15,1,1,4,1,7,7,2,2,2,-1,-1
15,1,1,3,0,7,7,3,-1,-1,2,2
15,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,1,7,7,2,2,2,-1,-1
12,2,2,3,1,7,7,1,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
18,1,1,7,1,7,7,0,1,1,1,1
18,1,1,5,1,7,7,2,2,2,-1,-1
18,1,1,4,0,7,7,3,-1,-1,2,2
18,1,1,3,0,7,7,2,2,2,-1,-1
18,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,2,2,2,-1,-1
9,2,1,3,1,7,7,1,1,1,1,2
2,1,0,2,0,7,7,2,2,2,-1,-1
1,0,0,1,0,7,7,3,-1,-1,2,2
2,2,0,2,1,7,7,0,1,1,1,1
32,0,0,1,1,7,7,1,0,0,0,0
23,3,3,4,1,0,7,2,2,1,-1,-1
23,3,3,3,0,7,7,3,-1,-1,1,1
23,3,0,2,0,7,7,2,1,1,-1,-1
23,0,0,1,0,7,7,1,0,0,0,0
13,7,5,5,1,0,7,0,1,1,1,1
13,7,5,3,1,7,7,1,0,0,0,1
7,5,0,2,1,7,7,4,-1,-1,2,-1
7,5,0,2,1,7,0,0,0,0,0,0
64,0,0,1,1,7,7,1,0,0,0,0
9,1,1,8,1,7,7,0,1,1,1,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
35,8,3,4,1,7,7,2,2,1,-1,-1
35,8,2,3,0,7,7,3,-1,-1,1,2
35,8,0,2,0,7,7,1,0,0,0,0
8,0,0,1,1,7,7,1,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
49,5,5,4,1,7,7,1,0,0,0,1
