tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
18,1,1,5,1,7,7,2,2,2,-1,-1
18,1,1,4,0,7,7,3,-1,-1,2,2
18,1,1,3,0,7,7,2,2,2,-1,-1
18,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,2,2,2,-1,-1
5,4,3,5,1,7,7,0,1,1,1,1
5,2,2,3,1,7,7,2,2,2,-1,-1
5,2,0,2,0,7,7,0,1,1,0,2
32,0,0,1,1,0,7,1,0,0,0,0
12,0,0,1,1,7,7,1,1,1,1,1
4,4,0,2,1,7,7,0,1,1,1,1
16,0,0,1,1,7,7,1,0,0,0,0
8,3,2,6,1,7,7,0,1,1,1,1
8,1,1,4,1,7,7,2,2,2,-1,-1
8,1,1,3,0,7,7,3,-1,-1,2,2
8,1,0,2,0,7,7,2,2,2,-1,-1
8,0,0,1,0,7,7,1,1,1,1,1
16,16,0,2,1,7,7,0,0,0,0,0
4,3,3,5,1,7,7,0,1,1,1,1
3,3,3,3,1,7,7,0,1,1,1,1
3,0,0,1,1,7,7,1,1,1,1,1
8,3,2,6,1,7,7,0,1,1,1,1
8,1,1,4,1,7,7,2,2,2,-1,-1
8,1,1,3,0,7,7,3,-1,-1,2,2
8,1,0,2,0,7,7,2,2,2,-1,-1
8,0,0,1,0,7,7,1,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
17,7,0,2,1,7,7,1,0,0,0,0
7,0,0,1,0,7,7,1,1,1,1,1
12,4,4,4,1,7,7,2,2,1,-1,-1
12,4,4,3,0,7,7,3,-1,-1,1,1
12,4,0,2,0,7,7,2,1,1,-1,-1
12,0,0,1,0,7,7,1,1,1,1,1
24,22,6,5,1,7,7,0,1,1,1,1
24,22,6,3,1,7,7,4,-1,-1,0,-1
24,22,6,3,1,7,0,2,1,1,-1,-1
24,22,0,2,0,7,0,0,0,0,0,0
12,9,9,5,1,7,7,1,1,0,1,1
9,9,9,4,0,7,7,4,-1,-1,2,-1
9,9,9,4,0,7,0,1,1,0,1,2
9,9,9,3,0,7,7,4,-1,-1,2,-1
9,9,9,3,0,7,0,1,1,0,1,2
9,9,0,2,0,7,7,4,-1,-1,2,-1
